model,block_id,block_name,canonical_name,spatial_h,spatial_w,input_channels,output_channels,weight_bytes_per_exec,act_bytes_per_exec,output_write_bytes,total_dm_bytes,dm_per_exec,exec_count_baseline,exec_count_cached,dm_baseline,dm_cached,cim_block_max_dim,cim_block_max_array_size,s3_cache_output_bytes
ldm_ffhq256,0,encoder_layer_0,model.input_blocks.0,64,64,3,224,24192,49152,3670016,3743360,73344,200,56,748672000,209628160,224,6048,3670016
ldm_ffhq256,1,encoder_layer_1,model.input_blocks.1,64,64,224,224,4415488,7343616,3670016,15429120,11759104,200,59,3085824000,910318080,2016,451584,3670016
ldm_ffhq256,2,encoder_layer_2,model.input_blocks.2,64,64,224,224,4415488,7343616,3670016,15429120,11759104,200,58,3085824000,894888960,2016,451584,3670016
ldm_ffhq256,3,encoder_layer_3,model.input_blocks.3,64,64,224,224,1806336,3670016,917504,6393856,5476352,200,58,1278771200,370843648,2016,451584,917504
ldm_ffhq256,4,encoder_layer_4,model.input_blocks.4,32,32,224,448,16056320,7343616,1835008,25234944,23399936,200,56,5046988800,1413156864,4032,1806336,1835008
ldm_ffhq256,5,encoder_layer_5,model.input_blocks.5,32,32,448,448,19267584,7343616,1835008,28446208,26611200,200,56,5689241600,1592987648,4032,1806336,1835008
ldm_ffhq256,6,encoder_layer_6,model.input_blocks.6,32,32,448,448,7225344,1835008,458752,9519104,9060352,200,56,1903820800,533069824,4032,1806336,458752
ldm_ffhq256,7,encoder_layer_7,model.input_blocks.7,16,16,448,672,37933056,2985472,688128,41606656,40918528,200,56,8321331200,2329972736,6048,4064256,688128
ldm_ffhq256,8,encoder_layer_8,model.input_blocks.8,16,16,672,672,42147840,2756096,688128,45592064,44903936,200,56,9118412800,2553155584,6048,4064256,688128
ldm_ffhq256,9,encoder_layer_9,model.input_blocks.9,16,16,672,672,16257024,688128,172032,17117184,16945152,200,56,3423436800,958562304,6048,4064256,172032
ldm_ffhq256,10,encoder_layer_10,model.input_blocks.10,8,8,672,896,69042176,1035776,229376,70307328,70077952,200,56,14061465600,3937210368,8064,7225344,229376
ldm_ffhq256,11,encoder_layer_11,model.input_blocks.11,8,8,896,896,73859072,921088,229376,75009536,74780160,200,56,15001907200,4200534016,8064,7225344,229376
ldm_ffhq256,12,middle_layer,model.middle_block,8,8,896,896,134873088,1383424,229376,136485888,136256512,200,56,27297177600,7643209728,8064,7225344,229376
ldm_ffhq256,13,decoder_layer_0,model.output_blocks.0,8,8,1792,896,109182976,1609216,229376,111021568,110792192,200,56,22204313600,6217207808,16128,14450688,229376
ldm_ffhq256,14,decoder_layer_1,model.output_blocks.1,8,8,1792,896,109182976,1609216,229376,111021568,110792192,200,56,22204313600,6217207808,16128,14450688,229376
ldm_ffhq256,15,decoder_layer_2,model.output_blocks.2,8,8,1568,896,130056192,2412032,917504,133385728,132468224,200,56,26677145600,7469600768,14112,12644352,917504
ldm_ffhq256,16,decoder_layer_3,model.output_blocks.3,16,16,1568,672,68038656,5279232,688128,74006016,73317888,200,56,14801203200,4144336896,14112,9483264,688128
ldm_ffhq256,17,decoder_layer_4,model.output_blocks.4,16,16,1344,672,62017536,4820480,688128,67526144,66838016,200,56,13505228800,3781464064,12096,8128512,688128
ldm_ffhq256,18,decoder_layer_5,model.output_blocks.5,16,16,1120,672,72253440,7114240,2752512,82120192,79367680,200,56,16424038400,4598730752,10080,6773760,2752512
ldm_ffhq256,19,decoder_layer_6,model.output_blocks.6,32,32,1120,448,32112640,14683648,1835008,48631296,46796288,200,56,9726259200,2723352576,10080,4515840,1835008
ldm_ffhq256,20,decoder_layer_7,model.output_blocks.7,32,32,896,448,28098560,12848640,1835008,42782208,40947200,200,56,8556441600,2395803648,8064,3612672,1835008
ldm_ffhq256,21,decoder_layer_8,model.output_blocks.8,32,32,672,448,31309824,18353664,7340032,57003520,49663488,200,56,11400704000,3192197120,6048,2709504,7340032
ldm_ffhq256,22,decoder_layer_9,model.output_blocks.9,64,64,672,224,8630272,25693696,3670016,37993984,34323968,200,56,7598796800,2127663104,6048,1354752,3670016
ldm_ffhq256,23,decoder_layer_10,model.output_blocks.10,64,64,448,224,6623232,18353664,3670016,28646912,24976896,200,58,5729382400,1661520896,4032,903168,3670016
ldm_ffhq256,24,decoder_layer_11,model.output_blocks.11,64,64,448,224,6623232,18353664,3670016,28646912,24976896,200,58,5729382400,1661520896,4032,903168,3670016
