model,block_id,block_name,layer_name,layer_type,weight_shape,weight_bytes,act_bytes,dm_per_exec,cim_rows,cim_cols,cim_max_dim,cim_array_size,is_quantized,seq_len
ldm_ffhq256,0,encoder_layer_0,encoder_layer_0[0].conv,conv2d,"(224, 3, 3, 3)",24192,49152,73344,27,224,224,6048,False,1
ldm_ffhq256,1,encoder_layer_1,encoder_layer_1[0].in_layers.conv,conv2d,"(224, 224, 3, 3)",1806336,3670016,5476352,2016,224,2016,451584,False,1
ldm_ffhq256,1,encoder_layer_1,encoder_layer_1[0].emb_layers.linear,linear,"(224, 896)",802816,3584,806400,896,224,896,200704,False,1
ldm_ffhq256,1,encoder_layer_1,encoder_layer_1[0].out_layers.conv,conv2d,"(224, 224, 3, 3)",1806336,3670016,5476352,2016,224,2016,451584,False,1
ldm_ffhq256,2,encoder_layer_2,encoder_layer_2[0].in_layers.conv,conv2d,"(224, 224, 3, 3)",1806336,3670016,5476352,2016,224,2016,451584,False,1
ldm_ffhq256,2,encoder_layer_2,encoder_layer_2[0].emb_layers.linear,linear,"(224, 896)",802816,3584,806400,896,224,896,200704,False,1
ldm_ffhq256,2,encoder_layer_2,encoder_layer_2[0].out_layers.conv,conv2d,"(224, 224, 3, 3)",1806336,3670016,5476352,2016,224,2016,451584,False,1
ldm_ffhq256,3,encoder_layer_3,encoder_layer_3[0].downsample,conv2d,"(224, 224, 3, 3)",1806336,3670016,5476352,2016,224,2016,451584,False,1
ldm_ffhq256,4,encoder_layer_4,encoder_layer_4[0].in_layers.conv,conv2d,"(448, 224, 3, 3)",3612672,917504,4530176,2016,448,2016,903168,False,1
ldm_ffhq256,4,encoder_layer_4,encoder_layer_4[0].emb_layers.linear,linear,"(448, 896)",1605632,3584,1609216,896,448,896,401408,False,1
ldm_ffhq256,4,encoder_layer_4,encoder_layer_4[0].out_layers.conv,conv2d,"(448, 448, 3, 3)",7225344,1835008,9060352,4032,448,4032,1806336,False,1
ldm_ffhq256,4,encoder_layer_4,encoder_layer_4[0].skip_connection,conv2d,"(448, 224, 1, 1)",401408,917504,1318912,224,448,448,100352,False,1
ldm_ffhq256,4,encoder_layer_4,encoder_layer_4[1].qkv,conv1d,"(1344, 448, 1)",2408448,1835008,4243456,448,1344,1344,602112,False,1
ldm_ffhq256,4,encoder_layer_4,encoder_layer_4[1].proj_out,conv1d,"(448, 448, 1)",802816,1835008,2637824,448,448,448,200704,False,1
ldm_ffhq256,5,encoder_layer_5,encoder_layer_5[0].in_layers.conv,conv2d,"(448, 448, 3, 3)",7225344,1835008,9060352,4032,448,4032,1806336,False,1
ldm_ffhq256,5,encoder_layer_5,encoder_layer_5[0].emb_layers.linear,linear,"(448, 896)",1605632,3584,1609216,896,448,896,401408,False,1
ldm_ffhq256,5,encoder_layer_5,encoder_layer_5[0].out_layers.conv,conv2d,"(448, 448, 3, 3)",7225344,1835008,9060352,4032,448,4032,1806336,False,1
ldm_ffhq256,5,encoder_layer_5,encoder_layer_5[1].qkv,conv1d,"(1344, 448, 1)",2408448,1835008,4243456,448,1344,1344,602112,False,1
