model,block_id,block_name,num_layers,block_max_dim,block_max_array_size,spatial_h,spatial_w,input_channels,output_channels
ldm_ffhq256,0,encoder_layer_0,1,224,6048,64,64,3,224
ldm_ffhq256,1,encoder_layer_1,3,2016,451584,64,64,224,224
ldm_ffhq256,2,encoder_layer_2,3,2016,451584,64,64,224,224
ldm_ffhq256,3,encoder_layer_3,1,2016,451584,64,64,224,224
ldm_ffhq256,4,encoder_layer_4,6,4032,1806336,32,32,224,448
ldm_ffhq256,5,encoder_layer_5,5,4032,1806336,32,32,448,448
ldm_ffhq256,6,encoder_layer_6,1,4032,1806336,32,32,448,448
ldm_ffhq256,7,encoder_layer_7,6,6048,4064256,16,16,448,672
ldm_ffhq256,8,encoder_layer_8,5,6048,4064256,16,16,672,672
ldm_ffhq256,9,encoder_layer_9,1,6048,4064256,16,16,672,672
ldm_ffhq256,10,encoder_layer_10,6,8064,7225344,8,8,672,896
ldm_ffhq256,11,encoder_layer_11,5,8064,7225344,8,8,896,896
ldm_ffhq256,12,middle_layer,8,8064,7225344,8,8,896,896
ldm_ffhq256,13,decoder_layer_0,6,16128,14450688,8,8,1792,896
ldm_ffhq256,14,decoder_layer_1,6,16128,14450688,8,8,1792,896
ldm_ffhq256,15,decoder_layer_2,7,14112,12644352,8,8,1568,896
ldm_ffhq256,16,decoder_layer_3,6,14112,9483264,16,16,1568,672
ldm_ffhq256,17,decoder_layer_4,6,12096,8128512,16,16,1344,672
ldm_ffhq256,18,decoder_layer_5,7,10080,6773760,16,16,1120,672
ldm_ffhq256,19,decoder_layer_6,6,10080,4515840,32,32,1120,448
ldm_ffhq256,20,decoder_layer_7,6,8064,3612672,32,32,896,448
ldm_ffhq256,21,decoder_layer_8,7,6048,2709504,32,32,672,448
ldm_ffhq256,22,decoder_layer_9,4,6048,1354752,64,64,672,224
ldm_ffhq256,23,decoder_layer_10,4,4032,903168,64,64,448,224
ldm_ffhq256,24,decoder_layer_11,4,4032,903168,64,64,448,224
