run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
sweep_K15_sw3_lam0.25,15,3,0.25,0,model.input_blocks.0,54,146,0.27,0.95339021,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,1,model.input_blocks.1,54,146,0.27,0.95339021,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,2,model.input_blocks.10,54,146,0.27,0.95339021,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,3,model.input_blocks.11,54,146,0.27,0.95471476,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,4,model.input_blocks.2,54,146,0.27,1.10200372,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,5,model.input_blocks.3,54,146,0.27,1.07352936,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,6,model.input_blocks.4,54,146,0.27,1.03426448,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,7,model.input_blocks.5,54,146,0.27,0.95339021,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,8,model.input_blocks.6,54,146,0.27,0.95339021,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,9,model.input_blocks.7,54,146,0.27,1.02028714,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,10,model.input_blocks.8,54,146,0.27,1.04611101,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,11,model.input_blocks.9,54,146,0.27,1.09305989,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,12,model.middle_block,54,146,0.27,1.03491182,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,13,model.output_blocks.0,55,145,0.275,1.44664667,4;2;4;4;4;4;4;4;3;4;2;2
sweep_K15_sw3_lam0.25,15,3,0.25,14,model.output_blocks.1,54,146,0.27,1.05445623,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,15,model.output_blocks.10,54,146,0.27,1.26569541,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,16,model.output_blocks.11,56,144,0.28,1.40413179,4;2;4;4;4;4;4;4;3;4;2;1
sweep_K15_sw3_lam0.25,15,3,0.25,17,model.output_blocks.2,54,146,0.27,0.95339021,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,18,model.output_blocks.3,54,146,0.27,0.95339021,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,19,model.output_blocks.4,54,146,0.27,1.05703403,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,20,model.output_blocks.5,54,146,0.27,1.15364418,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,21,model.output_blocks.6,54,146,0.27,0.97782293,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,22,model.output_blocks.7,54,146,0.27,1.21811573,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,23,model.output_blocks.8,54,146,0.27,1.00754391,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.25,15,3,0.25,24,model.output_blocks.9,54,146,0.27,1.27806482,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.5,15,3,0.5,0,model.input_blocks.0,54,146,0.27,1.90678042,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.5,15,3,0.5,1,model.input_blocks.1,54,146,0.27,1.90678042,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.5,15,3,0.5,2,model.input_blocks.10,54,146,0.27,1.90678042,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.5,15,3,0.5,3,model.input_blocks.11,54,146,0.27,1.90810497,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.5,15,3,0.5,4,model.input_blocks.2,54,146,0.27,2.05539393,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.5,15,3,0.5,5,model.input_blocks.3,54,146,0.27,2.02691957,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.5,15,3,0.5,6,model.input_blocks.4,54,146,0.27,1.9876547,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.5,15,3,0.5,7,model.input_blocks.5,54,146,0.27,1.90678042,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.5,15,3,0.5,8,model.input_blocks.6,54,146,0.27,1.90678042,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.5,15,3,0.5,9,model.input_blocks.7,54,146,0.27,1.97367735,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.5,15,3,0.5,10,model.input_blocks.8,54,146,0.27,1.99950123,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.5,15,3,0.5,11,model.input_blocks.9,54,146,0.27,2.0464501,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.5,15,3,0.5,12,model.middle_block,54,146,0.27,1.98830203,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.5,15,3,0.5,13,model.output_blocks.0,54,146,0.27,2.41503044,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.5,15,3,0.5,14,model.output_blocks.1,54,146,0.27,2.00784644,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.5,15,3,0.5,15,model.output_blocks.10,54,146,0.27,2.21908562,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam0.5,15,3,0.5,16,model.output_blocks.11,55,145,0.275,2.45949108,4;2;4;4;4;4;4;4;3;4;2;2
