run,K,sw,lambda,zone_id,t_start,t_end,length,candidate_k,k1_count,k2_count,k3_count,k4_count,selected_k_mean,selected_J_mean,selected_J_std,selected_k_per_block
sweep_K15_sw3_lam0.25,15,3,0.25,0,199,189,11,1;2;3;4,0,0,0,25,4.0,0.07226863,0.00542138,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.25,15,3,0.25,1,188,187,2,1;2,0,25,0,0,2.0,0.13071584,0.00983697,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K15_sw3_lam0.25,15,3,0.25,2,186,179,8,1;2;3;4,0,0,0,25,4.0,0.06955966,0.00905711,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.25,15,3,0.25,3,178,175,4,1;2;3;4,0,0,0,25,4.0,0.0730076,0.01276592,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.25,15,3,0.25,4,174,154,21,1;2;3;4,0,0,0,25,4.0,0.07950709,0.00859403,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.25,15,3,0.25,5,153,147,7,1;2;3;4,0,0,0,25,4.0,0.08269535,0.01550171,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.25,15,3,0.25,6,146,83,64,1;2;3;4,0,0,0,25,4.0,0.07109113,0.01004948,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.25,15,3,0.25,7,82,66,17,1;2;3;4,0,0,0,25,4.0,0.07942684,0.00781998,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.25,15,3,0.25,8,65,63,3,1;2;3,0,0,25,0,3.0,0.09091778,0.01261492,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
sweep_K15_sw3_lam0.25,15,3,0.25,9,62,5,58,1;2;3;4,0,0,0,25,4.0,0.07000578,0.006175,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
