run,K,sw,lambda,zone_id,t_start,t_end,length,candidate_k,k1_count,k2_count,k3_count,k4_count,selected_k_mean,selected_J_mean,selected_J_std,selected_k_per_block
sweep_K10_sw3_lam1.0,10,3,1.0,0,199,179,21,1;2;3;4,0,0,0,25,4.0,0.2910285,0.00691414,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam1.0,10,3,1.0,1,178,175,4,1;2;3;4,0,0,0,25,4.0,0.2605076,0.01276592,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam1.0,10,3,1.0,2,174,154,21,1;2;3;4,0,0,0,25,4.0,0.2937928,0.00859403,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam1.0,10,3,1.0,3,153,147,7,1;2;3;4,0,0,0,25,4.0,0.29698106,0.01550171,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam1.0,10,3,1.0,4,146,83,64,1;2;3;4,0,0,0,25,4.0,0.25859113,0.01004948,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam1.0,10,3,1.0,5,82,5,78,1;2;3;4,0,0,0,25,4.0,0.26206797,0.00658099,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam1.0,10,3,1.0,6,4,3,2,1;2,0,25,0,0,2.0,0.51166515,0.02251977,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw3_lam1.0,10,3,1.0,7,2,0,3,1;2;3,0,1,24,0,2.96,0.3813151,0.08773722,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3
sweep_K10_sw5_lam1.0,10,5,1.0,0,199,188,12,1;2;3;4,0,0,0,25,4.0,0.25436733,0.00558406,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw5_lam1.0,10,5,1.0,1,187,179,9,1;2;3;4,0,0,9,16,3.64,0.33988384,0.00877242,3;3;3;4;4;4;4;3;3;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;3
sweep_K10_sw5_lam1.0,10,5,1.0,2,178,150,29,1;2;3;4,0,0,0,25,4.0,0.28459997,0.00934242,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw5_lam1.0,10,5,1.0,3,149,146,4,1;2;3;4,0,0,0,25,4.0,0.26298119,0.02017362,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw5_lam1.0,10,5,1.0,4,145,6,140,1;2;3;4,0,0,0,25,4.0,0.25693926,0.00803777,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw5_lam1.0,10,5,1.0,5,5,4,2,1;2,0,25,0,0,2.0,0.50848553,0.01383506,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,6,3,2,2,1;2,0,25,0,0,2.0,0.51239542,0.01971723,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,7,1,0,2,1;2,1,24,0,0,1.96,0.55267258,0.10013616,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2
sweep_K10_sw9_lam1.0,10,9,1.0,0,199,198,2,1;2,0,25,0,0,2.0,0.50110926,0.00119807,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw9_lam1.0,10,9,1.0,1,197,190,8,1;2;3;4,0,0,0,25,4.0,0.25427882,0.0059704,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw9_lam1.0,10,9,1.0,2,189,160,30,1;2;3;4,0,0,0,25,4.0,0.27464188,0.00899468,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw9_lam1.0,10,9,1.0,3,159,8,152,1;2;3;4,0,0,0,25,4.0,0.25723828,0.00832883,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw9_lam1.0,10,9,1.0,4,7,6,2,1;2,0,25,0,0,2.0,0.5062183,0.00805304,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw9_lam1.0,10,9,1.0,5,5,3,3,1;2;3,0,0,25,0,3.0,0.34676712,0.02416486,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,6,2,0,3,1;2;3,0,1,24,0,2.96,0.3813151,0.08773722,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,0,199,189,11,1;2;3;4,0,0,0,25,4.0,0.27681408,0.00542138,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0,15,3,1.0,1,188,187,2,1;2,0,25,0,0,2.0,0.50571584,0.00983697,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K15_sw3_lam1.0,15,3,1.0,2,186,179,8,1;2;3;4,0,0,0,25,4.0,0.25705966,0.00905711,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0,15,3,1.0,3,178,175,4,1;2;3;4,0,0,0,25,4.0,0.2605076,0.01276592,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0,15,3,1.0,4,174,154,21,1;2;3;4,0,0,0,25,4.0,0.2937928,0.00859403,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0,15,3,1.0,5,153,147,7,1;2;3;4,0,0,0,25,4.0,0.29698106,0.01550171,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0,15,3,1.0,6,146,83,64,1;2;3;4,0,0,0,25,4.0,0.25859113,0.01004948,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0,15,3,1.0,7,82,66,17,1;2;3;4,0,0,0,25,4.0,0.30001508,0.00781998,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0,15,3,1.0,8,65,63,3,1;2;3,0,0,25,0,3.0,0.34091778,0.01261492,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,9,62,5,58,1;2;3;4,0,0,0,25,4.0,0.2639713,0.006175,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0,15,3,1.0,10,4,3,2,1;2,0,25,0,0,2.0,0.51166515,0.02251977,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K15_sw3_lam1.0,15,3,1.0,11,2,0,3,1;2;3,0,1,24,0,2.96,0.3813151,0.08773722,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3
sweep_K15_sw5_lam1.0,15,5,1.0,0,199,188,12,1;2;3;4,0,0,0,25,4.0,0.25436733,0.00558406,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
