run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
sweep_K15_sw3_lam0.5,15,3,0.5,0,model.input_blocks.0,54,146,0.27,1.827124997156053,2;3;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,1,model.input_blocks.1,54,146,0.27,1.827124997156053,2;3;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,2,model.input_blocks.10,54,146,0.27,1.827124997156053,2;3;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,3,model.input_blocks.11,54,146,0.27,1.8308304691165231,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,4,model.input_blocks.2,54,146,0.27,2.0736620771786396,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,5,model.input_blocks.3,54,146,0.27,2.0433163569612,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,6,model.input_blocks.4,54,146,0.27,1.9746467436367645,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,7,model.input_blocks.5,54,146,0.27,1.827124997156053,2;3;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,8,model.input_blocks.6,54,146,0.27,1.827124997156053,2;3;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,9,model.input_blocks.7,54,146,0.27,1.9795505461934544,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,10,model.input_blocks.8,54,146,0.27,2.052937944298309,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,11,model.input_blocks.9,54,146,0.27,2.2497107984011584,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,12,model.middle_block,54,146,0.27,2.03653421861686,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,13,model.output_blocks.0,54,146,0.27,2.9458037815511817,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,14,model.output_blocks.1,54,146,0.27,2.078814554433491,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,15,model.output_blocks.10,54,146,0.27,2.1432225284984314,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,16,model.output_blocks.11,55,145,0.28,2.3419413406270224,2;4;3;2;4;4;4;4;4;3;2
sweep_K15_sw3_lam0.5,15,3,0.5,17,model.output_blocks.2,54,146,0.27,1.827124997156053,2;3;3;2;4;4;4;4;4;3;3
