run,K,sw,lambda,zone_id,t_start,t_end,length,candidate_k,k1_count,k2_count,k3_count,k4_count,selected_k_mean,selected_J_mean,selected_J_std,selected_k_per_block
sweep_K15_sw3_lam0.5,15,3,0.5,0,199,198,2,1;2,0,25,0,0,2.0,0.26405590802270246,0.017906467873749558,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K15_sw3_lam0.5,15,3,0.5,1,197,192,6,1;2;3;4,0,0,7,18,3.72,0.18266994682689408,0.019461003602586263,3;3;3;4;4;4;4;3;3;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4
sweep_K15_sw3_lam0.5,15,3,0.5,2,191,186,6,1;2;3;4,0,0,25,0,3.0,0.18046755871156864,0.015657284027857633,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,3,185,184,2,1;2,0,25,0,0,2.0,0.26353957983849535,0.01485051034753124,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K15_sw3_lam0.5,15,3,0.5,4,183,177,7,1;2;3;4,0,0,0,25,4.0,0.16036758328859738,0.020285088139079258,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.5,15,3,0.5,5,176,154,23,1;2;3;4,0,0,0,25,4.0,0.14973302775849337,0.020351737737068203,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.5,15,3,0.5,6,153,130,24,1;2;3;4,0,0,0,25,4.0,0.1437277669303472,0.020908267493106716,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.5,15,3,0.5,7,129,104,26,1;2;3;4,0,0,0,25,4.0,0.15486103171015647,0.02724388824901542,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.5,15,3,0.5,8,103,6,98,1;2;3;4,0,0,0,25,4.0,0.15014789322550218,0.03139840496070231,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.5,15,3,0.5,9,5,3,3,1;2;3,0,0,25,0,3.0,0.19350075368734507,0.03314678158857059,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
sweep_K15_sw3_lam0.5,15,3,0.5,10,2,0,3,1;2;3,0,1,24,0,2.96,0.21432660458549285,0.062270787180302586,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,0,199,198,2,1;2,0,25,0,0,2.0,0.5140559080227025,0.017906467873749558,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K15_sw3_lam1.0,15,3,1.0,1,197,192,6,1;2;3;4,0,0,7,18,3.72,0.3493366134935607,0.01946100360258627,3;3;3;4;4;4;4;3;3;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4
sweep_K15_sw3_lam1.0,15,3,1.0,2,191,186,6,1;2;3;4,0,0,25,0,3.0,0.3471342253782353,0.015657284027857626,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,3,185,184,2,1;2,0,25,0,0,2.0,0.5135395798384953,0.014850510347531235,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K15_sw3_lam1.0,15,3,1.0,4,183,177,7,1;2;3;4,0,0,0,25,4.0,0.3032247261457402,0.020285088139079258,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0,15,3,1.0,5,176,154,23,1;2;3;4,0,0,0,25,4.0,0.280167810367189,0.02035173773706821,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0,15,3,1.0,6,153,130,24,1;2;3;4,0,0,0,25,4.0,0.26872776693034717,0.020908267493106716,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0,15,3,1.0,7,129,104,26,1;2;3;4,0,0,0,25,4.0,0.2894764163255411,0.027243888249015427,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0,15,3,1.0,8,103,6,98,1;2;3;4,0,0,0,25,4.0,0.27769891363366545,0.03139840496070231,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0,15,3,1.0,9,5,3,3,1;2;3,0,0,25,0,3.0,0.3601674203540117,0.033146781588570574,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,10,2,0,3,1;2;3,0,1,24,0,2.96,0.3876599379188262,0.08827060240162095,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,0,199,198,2,1;2,0,25,0,0,2.0,0.5140559080227025,0.017906467873749558,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K20_sw3_lam1.0,20,3,1.0,1,197,192,6,1;2;3;4,0,0,7,18,3.72,0.3493366134935607,0.01946100360258627,3;3;3;4;4;4;4;3;3;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4
sweep_K20_sw3_lam1.0,20,3,1.0,2,191,186,6,1;2;3;4,0,0,25,0,3.0,0.3471342253782353,0.015657284027857626,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
