,t_99,t_98,t_97,t_96,t_95,t_94,t_93,t_92,t_91,t_90,t_89,t_88,t_87,t_86,t_85,t_84,t_83,t_82,t_81,t_80,t_79,t_78,t_77,t_76,t_75,t_74,t_73,t_72,t_71,t_70,t_69,t_68,t_67,t_66,t_65,t_64,t_63,t_62,t_61,t_60,t_59,t_58,t_57,t_56,t_55,t_54,t_53,t_52,t_51,t_50,t_49,t_48,t_47,t_46,t_45,t_44,t_43,t_42,t_41,t_40,t_39,t_38,t_37,t_36,t_35,t_34,t_33,t_32,t_31,t_30,t_29,t_28,t_27,t_26,t_25,t_24,t_23,t_22,t_21,t_20,t_19,t_18,t_17,t_16,t_15,t_14,t_13,t_12,t_11,t_10,t_9,t_8,t_7,t_6,t_5,t_4,t_3,t_2,t_1,t_0
t_99,0.0,0.268017578125,0.3673828125,0.44287109375,0.501171875,0.55654296875,0.59970703125,0.64306640625,0.6859375,0.72294921875,0.7568359375,0.7935546875,0.8224609375,0.8568359375,0.88203125,0.9087890625,0.93515625,0.962109375,0.9794921875,0.9974609375,1.01484375,1.0302734375,1.046875,1.062890625,1.0765625,1.0912109375,1.1044921875,1.119140625,1.13046875,1.141796875,1.1529296875,1.1642578125,1.1736328125,1.18359375,1.1919921875,1.2005859375,1.20703125,1.2154296875,1.2234375,1.2322265625,1.240234375,1.248046875,1.254296875,1.2615234375,1.2705078125,1.277734375,1.284375,1.2908203125,1.295703125,1.303125,1.308984375,1.313671875,1.31796875,1.3234375,1.32734375,1.3314453125,1.33515625,1.3396484375,1.34296875,1.3466796875,1.3474609375,1.3505859375,1.3544921875,1.356640625,1.3591796875,1.3615234375,1.364453125,1.36640625,1.36875,1.3708984375,1.37265625,1.3744140625,1.3759765625,1.3771484375,1.378125,1.3794921875,1.380859375,1.38203125,1.383203125,1.3845703125,1.3853515625,1.3861328125,1.387109375,1.387890625,1.388671875,1.38984375,1.3904296875,1.390625,1.391796875,1.39296875,1.3935546875,1.3947265625,1.394921875,1.395703125,1.3958984375,1.39609375,1.396875,1.3970703125,1.3978515625,1.3998046875
t_98,0.268017578125,0.0,0.268603515625,0.373876953125,0.4466796875,0.510546875,0.559375,0.6091796875,0.65625,0.696875,0.73291015625,0.7720703125,0.80263671875,0.8388671875,0.8654296875,0.8935546875,0.92109375,0.948828125,0.9673828125,0.9859375,1.004296875,1.0203125,1.0375,1.0541015625,1.0681640625,1.0833984375,1.096875,1.112109375,1.12421875,1.1361328125,1.147265625,1.1591796875,1.1681640625,1.17890625,1.1873046875,1.1966796875,1.2029296875,1.212109375,1.219921875,1.2291015625,1.2376953125,1.245703125,1.251953125,1.2595703125,1.2685546875,1.2755859375,1.282421875,1.2890625,1.294140625,1.3017578125,1.3076171875,1.3125,1.316796875,1.3220703125,1.3263671875,1.3302734375,1.333984375,1.3388671875,1.3423828125,1.34609375,1.346875,1.3498046875,1.3537109375,1.3556640625,1.35859375,1.3607421875,1.3638671875,1.365625,1.36796875,1.3703125,1.3720703125,1.3740234375,1.375390625,1.3763671875,1.3775390625,1.37890625,1.3802734375,1.3818359375,1.3826171875,1.3841796875,1.3849609375,1.3861328125,1.387109375,1.387890625,1.3884765625,1.3892578125,1.390234375,1.3904296875,1.39140625,1.392578125,1.3935546875,1.3943359375,1.3947265625,1.3955078125,1.395703125,1.39609375,1.3970703125,1.3970703125,1.398046875,1.4
t_97,0.3673828125,0.268603515625,0.0,0.27431640625,0.377392578125,0.45537109375,0.5138671875,0.57099609375,0.623828125,0.66748046875,0.7076171875,0.7494140625,0.78125,0.81953125,0.8474609375,0.8763671875,0.9052734375,0.9345703125,0.9533203125,0.973046875,0.9927734375,1.009375,1.0271484375,1.0443359375,1.05859375,1.0744140625,1.0890625,1.1044921875,1.1171875,1.1294921875,1.140625,1.153515625,1.162890625,1.1740234375,1.1826171875,1.192578125,1.1990234375,1.2078125,1.2162109375,1.225390625,1.2341796875,1.2427734375,1.2486328125,1.256640625,1.266015625,1.273046875,1.280078125,1.2869140625,1.2921875,1.3,1.3056640625,1.3109375,1.3154296875,1.320703125,1.325,1.3291015625,1.3328125,1.3376953125,1.34140625,1.3451171875,1.34609375,1.34921875,1.353125,1.3548828125,1.357421875,1.3599609375,1.362890625,1.3650390625,1.3673828125,1.3697265625,1.3716796875,1.3732421875,1.3751953125,1.3759765625,1.3775390625,1.3787109375,1.380078125,1.381640625,1.382421875,1.3837890625,1.384765625,1.385546875,1.38671875,1.3873046875,1.3880859375,1.3890625,1.3896484375,1.390234375,1.3912109375,1.392578125,1.3927734375,1.394140625,1.39453125,1.3951171875,1.3955078125,1.3958984375,1.3966796875,1.3970703125,1.39765625,1.3998046875
t_96,0.44287109375,0.373876953125,0.27431640625,0.0,0.273681640625,0.38310546875,0.45673828125,0.52255859375,0.58046875,0.6283203125,0.6728515625,0.7177734375,0.75205078125,0.7921875,0.821484375,0.8517578125,0.881640625,0.9125,0.9330078125,0.953515625,0.97421875,0.991796875,1.0103515625,1.028125,1.0431640625,1.0599609375,1.075,1.09140625,1.104296875,1.117578125,1.1296875,1.142578125,1.152734375,1.1634765625,1.1728515625,1.1833984375,1.1900390625,1.199609375,1.208203125,1.21796875,1.2267578125,1.2353515625,1.2416015625,1.2494140625,1.258984375,1.2666015625,1.273828125,1.2806640625,1.286328125,1.294140625,1.3001953125,1.3056640625,1.3103515625,1.3158203125,1.3201171875,1.324609375,1.3287109375,1.33359375,1.337109375,1.3412109375,1.3423828125,1.3455078125,1.3494140625,1.3513671875,1.3537109375,1.35625,1.3591796875,1.361328125,1.3638671875,1.3662109375,1.3677734375,1.36953125,1.3712890625,1.372265625,1.3736328125,1.3751953125,1.376171875,1.377734375,1.37890625,1.380078125,1.3810546875,1.38203125,1.383203125,1.38359375,1.3845703125,1.3857421875,1.3865234375,1.387109375,1.3880859375,1.3890625,1.3900390625,1.391015625,1.39140625,1.392578125,1.392578125,1.3931640625,1.3939453125,1.394140625,1.3951171875,1.397265625
t_95,0.501171875,0.4466796875,0.377392578125,0.273681640625,0.0,0.281201171875,0.3826171875,0.46298828125,0.52900390625,0.58466796875,0.63408203125,0.682421875,0.7203125,0.762890625,0.793359375,0.82578125,0.8580078125,0.8900390625,0.9119140625,0.934375,0.9560546875,0.9748046875,0.9939453125,1.0126953125,1.02890625,1.0462890625,1.0623046875,1.0798828125,1.0935546875,1.1072265625,1.1197265625,1.133203125,1.1435546875,1.1552734375,1.16484375,1.1759765625,1.1830078125,1.1923828125,1.201171875,1.2111328125,1.2201171875,1.22890625,1.2357421875,1.2435546875,1.253515625,1.2607421875,1.2681640625,1.2751953125,1.2810546875,1.2888671875,1.2955078125,1.30078125,1.30546875,1.3115234375,1.316015625,1.3203125,1.3244140625,1.3298828125,1.33359375,1.3376953125,1.3388671875,1.3421875,1.34609375,1.348046875,1.3509765625,1.353125,1.3560546875,1.3583984375,1.3609375,1.3634765625,1.3654296875,1.3669921875,1.36875,1.3697265625,1.3712890625,1.3724609375,1.373828125,1.3751953125,1.376171875,1.3775390625,1.37890625,1.3798828125,1.3806640625,1.3814453125,1.3822265625,1.383203125,1.3841796875,1.384375,1.3857421875,1.3869140625,1.3875,1.3890625,1.3892578125,1.3900390625,1.3904296875,1.390625,1.3919921875,1.3921875,1.39296875,1.3955078125
t_94,0.55654296875,0.510546875,0.45537109375,0.38310546875,0.281201171875,0.0,0.275390625,0.3865234375,0.46650390625,0.53046875,0.5859375,0.63994140625,0.68115234375,0.72783203125,0.76142578125,0.7970703125,0.8306640625,0.8646484375,0.888671875,0.9125,0.935546875,0.9548828125,0.975390625,0.9955078125,1.0125,1.0306640625,1.0470703125,1.065625,1.08046875,1.09453125,1.1080078125,1.122265625,1.1330078125,1.1447265625,1.1548828125,1.1662109375,1.1734375,1.18359375,1.1927734375,1.202734375,1.2125,1.221875,1.2283203125,1.23671875,1.2466796875,1.254296875,1.2625,1.2697265625,1.2759765625,1.283984375,1.290625,1.296484375,1.3015625,1.3076171875,1.3123046875,1.3169921875,1.320703125,1.3263671875,1.3298828125,1.333984375,1.33515625,1.3388671875,1.3427734375,1.3447265625,1.34765625,1.3501953125,1.353125,1.35546875,1.3580078125,1.360546875,1.3625,1.3642578125,1.366015625,1.3671875,1.3685546875,1.369921875,1.37109375,1.37265625,1.3736328125,1.3751953125,1.376171875,1.3771484375,1.378125,1.3787109375,1.3796875,1.3806640625,1.3818359375,1.38203125,1.3833984375,1.384375,1.3849609375,1.386328125,1.3869140625,1.3875,1.387890625,1.3884765625,1.3896484375,1.38984375,1.3912109375,1.39375
t_93,0.59970703125,0.559375,0.5138671875,0.45673828125,0.3826171875,0.275390625,0.0,0.2814453125,0.38798828125,0.4681640625,0.533203125,0.59423828125,0.64150390625,0.691796875,0.7283203125,0.76669921875,0.8025390625,0.8384765625,0.8634765625,0.888671875,0.9138671875,0.934375,0.956640625,0.9779296875,0.995703125,1.0142578125,1.0318359375,1.051171875,1.0669921875,1.0822265625,1.096484375,1.11171875,1.123046875,1.1359375,1.1462890625,1.15859375,1.1658203125,1.1763671875,1.1865234375,1.196875,1.2072265625,1.21640625,1.2232421875,1.2322265625,1.242578125,1.250390625,1.25859375,1.26640625,1.27265625,1.280859375,1.287890625,1.2935546875,1.298828125,1.3048828125,1.309765625,1.31484375,1.3185546875,1.32421875,1.327734375,1.33203125,1.3333984375,1.3369140625,1.341015625,1.3431640625,1.3458984375,1.3482421875,1.3517578125,1.35390625,1.356640625,1.359375,1.3611328125,1.362890625,1.3646484375,1.365625,1.3671875,1.36875,1.3703125,1.3716796875,1.37265625,1.373828125,1.375,1.3759765625,1.37734375,1.3775390625,1.378515625,1.3798828125,1.380859375,1.3810546875,1.382421875,1.3833984375,1.384375,1.3853515625,1.3859375,1.3865234375,1.3869140625,1.3873046875,1.3884765625,1.3888671875,1.390234375,1.39296875
t_92,0.64306640625,0.6091796875,0.57099609375,0.52255859375,0.46298828125,0.3865234375,0.2814453125,0.0,0.284375,0.392529296875,0.47509765625,0.54482421875,0.5994140625,0.65361328125,0.694140625,0.7353515625,0.7740234375,0.8123046875,0.839453125,0.86640625,0.8931640625,0.915234375,0.9388671875,0.9607421875,0.9796875,0.998828125,1.0171875,1.0376953125,1.054296875,1.0703125,1.0853515625,1.1013671875,1.1138671875,1.12734375,1.1380859375,1.15078125,1.1583984375,1.1697265625,1.1794921875,1.1908203125,1.2015625,1.2107421875,1.2181640625,1.2265625,1.237109375,1.244921875,1.25390625,1.2615234375,1.268359375,1.2763671875,1.28359375,1.2900390625,1.2953125,1.3017578125,1.306640625,1.3115234375,1.3154296875,1.3212890625,1.324609375,1.329296875,1.330859375,1.3341796875,1.33828125,1.340625,1.3435546875,1.34609375,1.34921875,1.3517578125,1.3546875,1.3572265625,1.358984375,1.3611328125,1.3625,1.363671875,1.3654296875,1.3666015625,1.3681640625,1.3697265625,1.3708984375,1.3720703125,1.3728515625,1.3740234375,1.375,1.376171875,1.3767578125,1.3779296875,1.37890625,1.379296875,1.38046875,1.381640625,1.382421875,1.3837890625,1.383984375,1.38515625,1.385546875,1.3857421875,1.387109375,1.3873046875,1.388671875,1.39140625
t_91,0.6859375,0.65625,0.623828125,0.58046875,0.52900390625,0.46650390625,0.38798828125,0.284375,0.0,0.284716796875,0.3962890625,0.48056640625,0.5447265625,0.60498046875,0.649609375,0.69541015625,0.738671875,0.77978515625,0.80966796875,0.83828125,0.8669921875,0.891015625,0.9162109375,0.9400390625,0.96015625,0.9806640625,0.999609375,1.021875,1.03984375,1.05625,1.072265625,1.088671875,1.10234375,1.1162109375,1.1275390625,1.1408203125,1.148828125,1.1603515625,1.1708984375,1.182421875,1.1939453125,1.2033203125,1.2107421875,1.219140625,1.2298828125,1.2384765625,1.2474609375,1.25546875,1.262109375,1.2708984375,1.2779296875,1.2849609375,1.290234375,1.2966796875,1.3021484375,1.306640625,1.3111328125,1.3169921875,1.3208984375,1.3255859375,1.3271484375,1.330859375,1.3349609375,1.3375,1.3404296875,1.3431640625,1.346484375,1.3490234375,1.3521484375,1.354296875,1.35625,1.3583984375,1.36015625,1.361328125,1.3626953125,1.3640625,1.365625,1.3669921875,1.3681640625,1.36953125,1.3701171875,1.371484375,1.3724609375,1.3734375,1.37421875,1.375390625,1.376171875,1.3767578125,1.3779296875,1.3791015625,1.380078125,1.38125,1.381640625,1.3826171875,1.3830078125,1.3833984375,1.3849609375,1.3849609375,1.3865234375,1.3890625
t_90,0.72294921875,0.696875,0.66748046875,0.6283203125,0.58466796875,0.53046875,0.4681640625,0.392529296875,0.284716796875,0.0,0.288671875,0.40087890625,0.4802734375,0.55146484375,0.60361328125,0.6537109375,0.70146484375,0.74658203125,0.7787109375,0.8091796875,0.840234375,0.8658203125,0.8931640625,0.9197265625,0.94140625,0.9638671875,0.9837890625,1.00703125,1.0259765625,1.04296875,1.060546875,1.0775390625,1.09140625,1.106640625,1.118359375,1.132421875,1.141015625,1.1529296875,1.1634765625,1.1755859375,1.1873046875,1.1974609375,1.2048828125,1.213671875,1.225,1.2337890625,1.24296875,1.2513671875,1.2580078125,1.2673828125,1.2748046875,1.2818359375,1.2873046875,1.29375,1.2990234375,1.3041015625,1.30859375,1.3142578125,1.31796875,1.3232421875,1.325,1.3287109375,1.3330078125,1.33515625,1.33828125,1.341015625,1.3443359375,1.346875,1.3501953125,1.35234375,1.3544921875,1.3564453125,1.358203125,1.359375,1.3607421875,1.3623046875,1.3634765625,1.365234375,1.3662109375,1.3677734375,1.3685546875,1.36953125,1.3708984375,1.371875,1.3724609375,1.3740234375,1.375,1.375390625,1.3765625,1.3775390625,1.3783203125,1.3794921875,1.380078125,1.3806640625,1.3814453125,1.3818359375,1.383203125,1.3837890625,1.3853515625,1.3880859375
