,t_199,t_198,t_197,t_196,t_195,t_194,t_193,t_192,t_191,t_190,t_189,t_188,t_187,t_186,t_185,t_184,t_183,t_182,t_181,t_180,t_179,t_178,t_177,t_176,t_175,t_174,t_173,t_172,t_171,t_170,t_169,t_168,t_167,t_166,t_165,t_164,t_163,t_162,t_161,t_160,t_159,t_158,t_157,t_156,t_155,t_154,t_153,t_152,t_151,t_150,t_149,t_148,t_147,t_146,t_145,t_144,t_143,t_142,t_141,t_140,t_139,t_138,t_137,t_136,t_135,t_134,t_133,t_132,t_131,t_130,t_129,t_128,t_127,t_126,t_125,t_124,t_123,t_122,t_121,t_120,t_119,t_118,t_117,t_116,t_115,t_114,t_113,t_112,t_111,t_110,t_109,t_108,t_107,t_106,t_105,t_104,t_103,t_102,t_101,t_100,t_99,t_98,t_97,t_96,t_95,t_94,t_93,t_92,t_91,t_90,t_89,t_88,t_87,t_86,t_85,t_84,t_83,t_82,t_81,t_80,t_79,t_78,t_77,t_76,t_75,t_74,t_73,t_72,t_71,t_70,t_69,t_68,t_67,t_66,t_65,t_64,t_63,t_62,t_61,t_60,t_59,t_58,t_57,t_56,t_55,t_54,t_53,t_52,t_51,t_50,t_49,t_48,t_47,t_46,t_45,t_44,t_43,t_42,t_41,t_40,t_39,t_38,t_37,t_36,t_35,t_34,t_33,t_32,t_31,t_30,t_29,t_28,t_27,t_26,t_25,t_24,t_23,t_22,t_21,t_20,t_19,t_18,t_17,t_16,t_15,t_14,t_13,t_12,t_11,t_10,t_9,t_8,t_7,t_6,t_5,t_4,t_3,t_2,t_1,t_0
t_199,0.0,0.009112548828125,0.0215728759765625,0.03543701171875,0.049267578125,0.06378173828125,0.08944091796875,0.10888671875,0.1328369140625,0.1479248046875,0.1723388671875,0.192236328125,0.216943359375,0.23642578125,0.26201171875,0.283544921875,0.308984375,0.337890625,0.35771484375,0.379248046875,0.40341796875,0.4236328125,0.4494140625,0.47529296875,0.49365234375,0.5171875,0.5283203125,0.5529296875,0.5716796875,0.59248046875,0.61298828125,0.6255859375,0.64287109375,0.6595703125,0.6755859375,0.68857421875,0.70341796875,0.71787109375,0.7287109375,0.7408203125,0.751953125,0.76474609375,0.77587890625,0.78544921875,0.79814453125,0.8076171875,0.8193359375,0.8283203125,0.8404296875,0.8505859375,0.8603515625,0.8705078125,0.880859375,0.8916015625,0.9021484375,0.91328125,0.9236328125,0.934375,0.9443359375,0.9544921875,0.9642578125,0.9736328125,0.9837890625,0.9939453125,1.0025390625,1.0119140625,1.0212890625,1.0314453125,1.0392578125,1.0486328125,1.0576171875,1.0671875,1.075,1.082421875,1.0916015625,1.0982421875,1.1064453125,1.114453125,1.121875,1.1296875,1.1373046875,1.14453125,1.152734375,1.159765625,1.1669921875,1.173828125,1.1810546875,1.187890625,1.19453125,1.20078125,1.2068359375,1.21328125,1.2189453125,1.22578125,1.230859375,1.23671875,1.2421875,1.2474609375,1.2525390625,1.2578125,1.2623046875,1.267578125,1.272265625,1.276171875,1.2802734375,1.284375,1.2884765625,1.2919921875,1.295703125,1.299609375,1.302734375,1.3064453125,1.309765625,1.3130859375,1.3162109375,1.31875,1.321484375,1.32421875,1.3267578125,1.329296875,1.331640625,1.3337890625,1.336328125,1.33828125,1.3404296875,1.3423828125,1.3439453125,1.3458984375,1.348046875,1.3498046875,1.3509765625,1.352734375,1.3544921875,1.35625,1.357421875,1.35859375,1.36015625,1.3615234375,1.3626953125,1.3638671875,1.365234375,1.366015625,1.3669921875,1.3681640625,1.369140625,1.369921875,1.3708984375,1.3716796875,1.3724609375,1.3736328125,1.37421875,1.375,1.3759765625,1.3765625,1.37734375,1.3779296875,1.378515625,1.379296875,1.3796875,1.38046875,1.3810546875,1.3818359375,1.382421875,1.3828125,1.383203125,1.383984375,1.3845703125,1.384765625,1.3853515625,1.385546875,1.3861328125,1.38671875,1.387109375,1.3876953125,1.3880859375,1.3880859375,1.3888671875,1.3890625,1.389453125,1.38984375,1.3900390625,1.3904296875,1.390625,1.391015625,1.39140625,1.39140625,1.3921875,1.3921875,1.3923828125,1.3923828125,1.392578125,1.3931640625,1.3931640625,1.393359375,1.3935546875,1.3935546875,1.3935546875,1.3935546875,1.3927734375,1.3923828125
t_198,0.009112548828125,0.0,0.01309814453125,0.027667236328125,0.04188232421875,0.05626220703125,0.0823974609375,0.101953125,0.1260009765625,0.141064453125,0.1654541015625,0.185498046875,0.210302734375,0.229638671875,0.255322265625,0.27685546875,0.302392578125,0.331396484375,0.35126953125,0.3728515625,0.39716796875,0.41748046875,0.44326171875,0.46923828125,0.48779296875,0.511328125,0.52265625,0.54736328125,0.5662109375,0.58701171875,0.6078125,0.62041015625,0.6376953125,0.6544921875,0.670703125,0.6837890625,0.698828125,0.71337890625,0.72412109375,0.73662109375,0.74765625,0.76064453125,0.77177734375,0.78154296875,0.79423828125,0.8041015625,0.8158203125,0.8248046875,0.8373046875,0.8474609375,0.8572265625,0.867578125,0.878125,0.8892578125,0.8994140625,0.9109375,0.9212890625,0.9318359375,0.9419921875,0.95234375,0.9623046875,0.9716796875,0.9818359375,0.9919921875,1.0009765625,1.0103515625,1.0197265625,1.0298828125,1.03828125,1.04765625,1.05625,1.065625,1.073828125,1.081640625,1.090625,1.09765625,1.1056640625,1.1134765625,1.12109375,1.12890625,1.1365234375,1.1443359375,1.1525390625,1.158984375,1.16640625,1.1734375,1.180859375,1.1875,1.19453125,1.2005859375,1.2064453125,1.212890625,1.2189453125,1.2255859375,1.2306640625,1.2365234375,1.2421875,1.247265625,1.25234375,1.2576171875,1.2623046875,1.267578125,1.272265625,1.276171875,1.280078125,1.2845703125,1.288671875,1.2919921875,1.295703125,1.299609375,1.303125,1.3064453125,1.3099609375,1.31328125,1.31640625,1.3189453125,1.3216796875,1.32421875,1.3271484375,1.329296875,1.331640625,1.3341796875,1.3361328125,1.3384765625,1.3408203125,1.3423828125,1.3443359375,1.3462890625,1.348046875,1.35,1.3515625,1.3533203125,1.3548828125,1.356640625,1.3576171875,1.3591796875,1.3603515625,1.36171875,1.362890625,1.3642578125,1.365234375,1.3662109375,1.3673828125,1.368359375,1.36953125,1.3703125,1.3712890625,1.3724609375,1.373046875,1.3740234375,1.3748046875,1.375390625,1.3763671875,1.3765625,1.3775390625,1.378125,1.37890625,1.3796875,1.3802734375,1.3810546875,1.3814453125,1.38203125,1.3826171875,1.3830078125,1.3833984375,1.3841796875,1.384765625,1.38515625,1.385546875,1.3859375,1.386328125,1.3869140625,1.3875,1.387890625,1.3880859375,1.388671875,1.3890625,1.389453125,1.3896484375,1.3900390625,1.390625,1.390625,1.391015625,1.39140625,1.3916015625,1.3921875,1.3923828125,1.3923828125,1.3923828125,1.3931640625,1.3931640625,1.3931640625,1.3935546875,1.3935546875,1.3939453125,1.3939453125,1.39375,1.3935546875,1.3935546875,1.3927734375
t_197,0.0215728759765625,0.01309814453125,0.0,0.01502685546875,0.0293212890625,0.043505859375,0.0698974609375,0.08948974609375,0.1136474609375,0.128662109375,0.1531005859375,0.173291015625,0.198193359375,0.21748046875,0.24326171875,0.26494140625,0.290576171875,0.319775390625,0.33974609375,0.3615234375,0.385888671875,0.40634765625,0.43251953125,0.45869140625,0.47724609375,0.50107421875,0.51259765625,0.5375,0.55654296875,0.57783203125,0.5986328125,0.611328125,0.62880859375,0.6458984375,0.66240234375,0.67548828125,0.690625,0.70556640625,0.7166015625,0.72890625,0.740234375,0.75322265625,0.76484375,0.774609375,0.7875,0.7974609375,0.8091796875,0.8185546875,0.8310546875,0.84140625,0.851171875,0.862109375,0.8728515625,0.8837890625,0.894140625,0.9056640625,0.9166015625,0.9271484375,0.9375,0.948046875,0.9580078125,0.9673828125,0.9775390625,0.9880859375,0.9970703125,1.006640625,1.01640625,1.0267578125,1.034765625,1.0439453125,1.053125,1.0625,1.07109375,1.078515625,1.0880859375,1.0951171875,1.1029296875,1.111328125,1.1189453125,1.1265625,1.1341796875,1.1419921875,1.150390625,1.157421875,1.164453125,1.171484375,1.1791015625,1.185546875,1.1927734375,1.1990234375,1.2046875,1.211328125,1.2173828125,1.2240234375,1.2294921875,1.23515625,1.240625,1.24609375,1.2513671875,1.256640625,1.261328125,1.2662109375,1.27109375,1.2751953125,1.2791015625,1.2833984375,1.2875,1.2912109375,1.294921875,1.298828125,1.30234375,1.3056640625,1.3091796875,1.3123046875,1.315625,1.318359375,1.32109375,1.3234375,1.3263671875,1.328515625,1.3310546875,1.33359375,1.3359375,1.3376953125,1.3400390625,1.3421875,1.3439453125,1.3455078125,1.34765625,1.3494140625,1.35078125,1.352734375,1.3544921875,1.3556640625,1.3572265625,1.3583984375,1.3599609375,1.3611328125,1.3623046875,1.3638671875,1.36484375,1.3658203125,1.366796875,1.367578125,1.3689453125,1.369921875,1.370703125,1.3716796875,1.3724609375,1.3734375,1.3744140625,1.375,1.37578125,1.3765625,1.37734375,1.378125,1.3787109375,1.379296875,1.3798828125,1.3802734375,1.38125,1.381640625,1.3822265625,1.3826171875,1.383203125,1.383984375,1.384375,1.384765625,1.3853515625,1.3857421875,1.3861328125,1.3865234375,1.387109375,1.3875,1.387890625,1.38828125,1.3888671875,1.3890625,1.389453125,1.38984375,1.3900390625,1.3904296875,1.390625,1.391015625,1.39140625,1.3916015625,1.3919921875,1.3923828125,1.392578125,1.392578125,1.39296875,1.39296875,1.3931640625,1.393359375,1.393359375,1.393359375,1.393359375,1.393359375,1.393359375,1.3923828125
t_196,0.03543701171875,0.027667236328125,0.01502685546875,0.0,0.0144561767578125,0.028741455078125,0.05506591796875,0.07470703125,0.09893798828125,0.11396484375,0.138525390625,0.158740234375,0.183740234375,0.20322265625,0.2291015625,0.250927734375,0.276708984375,0.30615234375,0.326123046875,0.348193359375,0.372802734375,0.39345703125,0.419921875,0.446484375,0.46513671875,0.48916015625,0.50078125,0.52607421875,0.54541015625,0.566796875,0.58779296875,0.60078125,0.6185546875,0.63583984375,0.6525390625,0.6658203125,0.68134765625,0.6962890625,0.7076171875,0.72021484375,0.73173828125,0.744921875,0.75654296875,0.76640625,0.77958984375,0.7896484375,0.8017578125,0.8111328125,0.823828125,0.8345703125,0.844140625,0.855078125,0.866015625,0.876953125,0.887890625,0.8998046875,0.9103515625,0.921484375,0.931640625,0.9423828125,0.952734375,0.9623046875,0.9728515625,0.9830078125,0.9923828125,1.0017578125,1.011328125,1.022265625,1.03046875,1.03984375,1.04921875,1.058984375,1.0671875,1.075,1.084375,1.09140625,1.099609375,1.1076171875,1.115625,1.1234375,1.1314453125,1.1388671875,1.147265625,1.154296875,1.16171875,1.1689453125,1.1763671875,1.183203125,1.1900390625,1.1966796875,1.20234375,1.2091796875,1.215234375,1.2216796875,1.2271484375,1.233203125,1.2388671875,1.2439453125,1.24921875,1.2546875,1.2591796875,1.2646484375,1.269140625,1.2734375,1.27734375,1.28203125,1.2859375,1.289453125,1.293359375,1.2970703125,1.3005859375,1.3041015625,1.307421875,1.3109375,1.3142578125,1.3171875,1.31953125,1.322265625,1.325,1.3275390625,1.3298828125,1.3322265625,1.3345703125,1.33671875,1.3388671875,1.3408203125,1.3423828125,1.34453125,1.3462890625,1.348046875,1.349609375,1.3517578125,1.353125,1.3546875,1.3560546875,1.357421875,1.35859375,1.3599609375,1.3611328125,1.3626953125,1.3640625,1.3650390625,1.3658203125,1.366796875,1.3681640625,1.3689453125,1.3697265625,1.3708984375,1.3716796875,1.3724609375,1.3734375,1.3740234375,1.375,1.3755859375,1.3763671875,1.376953125,1.377734375,1.3783203125,1.37890625,1.3794921875,1.380078125,1.3810546875,1.3810546875,1.3818359375,1.382421875,1.383203125,1.38359375,1.383984375,1.384765625,1.384765625,1.38515625,1.3857421875,1.3865234375,1.3865234375,1.3873046875,1.3873046875,1.3876953125,1.38828125,1.3884765625,1.3890625,1.3896484375,1.38984375,1.38984375,1.390234375,1.390625,1.3912109375,1.39140625,1.3916015625,1.3916015625,1.3921875,1.3919921875,1.3921875,1.392578125,1.3927734375,1.39296875,1.39296875,1.39296875,1.3927734375,1.3921875,1.3916015625
t_195,0.049267578125,0.04188232421875,0.0293212890625,0.0144561767578125,0.0,0.0146331787109375,0.040704345703125,0.0603515625,0.0846435546875,0.09971923828125,0.1243408203125,0.144677734375,0.1697265625,0.1892822265625,0.215380859375,0.237255859375,0.26328125,0.29287109375,0.313134765625,0.335302734375,0.36015625,0.38095703125,0.40751953125,0.43447265625,0.45341796875,0.477734375,0.48955078125,0.5150390625,0.53466796875,0.55634765625,0.57763671875,0.590625,0.60869140625,0.62626953125,0.64296875,0.656640625,0.67216796875,0.6873046875,0.69873046875,0.71162109375,0.7232421875,0.73671875,0.7484375,0.75859375,0.771875,0.78212890625,0.79462890625,0.8041015625,0.816796875,0.8275390625,0.8376953125,0.848828125,0.859765625,0.870703125,0.881640625,0.89375,0.9046875,0.9158203125,0.926171875,0.937109375,0.9474609375,0.9572265625,0.967578125,0.9783203125,0.9876953125,0.9974609375,1.0072265625,1.0177734375,1.026171875,1.0357421875,1.0451171875,1.055078125,1.0634765625,1.0712890625,1.0806640625,1.087890625,1.09609375,1.104296875,1.112109375,1.119921875,1.128125,1.1359375,1.144140625,1.151171875,1.1587890625,1.166015625,1.173828125,1.1802734375,1.1876953125,1.19375,1.2,1.206640625,1.212890625,1.2193359375,1.2248046875,1.230859375,1.23671875,1.241796875,1.2474609375,1.2529296875,1.2576171875,1.2626953125,1.2673828125,1.271875,1.2755859375,1.2802734375,1.284375,1.2876953125,1.291796875,1.2953125,1.2990234375,1.3025390625,1.30625,1.309375,1.3125,1.315625,1.3181640625,1.32109375,1.3234375,1.3259765625,1.328515625,1.330859375,1.333203125,1.3353515625,1.3376953125,1.33984375,1.34140625,1.3431640625,1.3453125,1.3470703125,1.3486328125,1.3501953125,1.3521484375,1.3537109375,1.3548828125,1.35625,1.3576171875,1.358984375,1.36015625,1.3615234375,1.3626953125,1.3634765625,1.3650390625,1.3658203125,1.366796875,1.36796875,1.3689453125,1.3697265625,1.370703125,1.3716796875,1.3724609375,1.3732421875,1.373828125,1.374609375,1.375390625,1.376171875,1.376953125,1.3771484375,1.378125,1.378515625,1.3791015625,1.3798828125,1.38046875,1.380859375,1.381640625,1.3822265625,1.382421875,1.383203125,1.38359375,1.383984375,1.384765625,1.3849609375,1.3853515625,1.3859375,1.3865234375,1.3865234375,1.3869140625,1.3873046875,1.3876953125,1.38828125,1.388671875,1.3888671875,1.3890625,1.3896484375,1.38984375,1.3900390625,1.3904296875,1.390625,1.3908203125,1.391015625,1.3912109375,1.3916015625,1.391796875,1.391796875,1.3919921875,1.3919921875,1.3919921875,1.3919921875,1.391796875,1.391015625
t_194,0.06378173828125,0.05626220703125,0.043505859375,0.028741455078125,0.0146331787109375,0.0,0.026800537109375,0.046392822265625,0.07071533203125,0.085693359375,0.110302734375,0.1307861328125,0.155908203125,0.175439453125,0.2015625,0.223681640625,0.24970703125,0.2794921875,0.299951171875,0.322265625,0.347314453125,0.368359375,0.39521484375,0.422265625,0.44150390625,0.466015625,0.47783203125,0.50380859375,0.5234375,0.54541015625,0.56708984375,0.5802734375,0.5986328125,0.61630859375,0.63349609375,0.647265625,0.66298828125,0.67841796875,0.6900390625,0.70302734375,0.7146484375,0.728515625,0.74052734375,0.75068359375,0.7642578125,0.774609375,0.78720703125,0.79697265625,0.809765625,0.820703125,0.830859375,0.8423828125,0.853515625,0.86484375,0.8759765625,0.8880859375,0.89921875,0.9103515625,0.9208984375,0.9322265625,0.9427734375,0.952734375,0.9630859375,0.973828125,0.9833984375,0.993359375,1.0029296875,1.0138671875,1.0224609375,1.032421875,1.041796875,1.0515625,1.0603515625,1.06796875,1.0775390625,1.0845703125,1.0931640625,1.1015625,1.109375,1.1173828125,1.1255859375,1.133203125,1.141796875,1.1490234375,1.1564453125,1.163671875,1.1716796875,1.1783203125,1.185546875,1.1919921875,1.1982421875,1.205078125,1.2111328125,1.2177734375,1.2232421875,1.2294921875,1.23515625,1.240234375,1.24609375,1.2513671875,1.2560546875,1.2615234375,1.2662109375,1.2703125,1.2744140625,1.2791015625,1.283203125,1.28671875,1.2908203125,1.2943359375,1.298046875,1.3015625,1.3052734375,1.30859375,1.31171875,1.31484375,1.3171875,1.319921875,1.3228515625,1.3251953125,1.3275390625,1.3298828125,1.332421875,1.3345703125,1.3369140625,1.338671875,1.3408203125,1.3423828125,1.3447265625,1.3462890625,1.3478515625,1.349609375,1.3515625,1.3529296875,1.354296875,1.3556640625,1.3568359375,1.3583984375,1.3595703125,1.3611328125,1.3623046875,1.3634765625,1.3642578125,1.365234375,1.36640625,1.3671875,1.368359375,1.3693359375,1.3701171875,1.37109375,1.371875,1.37265625,1.3734375,1.373828125,1.374609375,1.375390625,1.376171875,1.376953125,1.377734375,1.378125,1.3787109375,1.3794921875,1.380078125,1.38046875,1.3810546875,1.381640625,1.3822265625,1.3826171875,1.383203125,1.3837890625,1.383984375,1.3845703125,1.3849609375,1.3857421875,1.3857421875,1.3865234375,1.3865234375,1.387109375,1.3875,1.387890625,1.38828125,1.3884765625,1.3890625,1.3890625,1.3896484375,1.38984375,1.3900390625,1.390234375,1.390625,1.391015625,1.391015625,1.39140625,1.39140625,1.39140625,1.391796875,1.391796875,1.391796875,1.3916015625,1.3912109375,1.3908203125
t_193,0.08944091796875,0.0823974609375,0.0698974609375,0.05506591796875,0.040704345703125,0.026800537109375,0.0,0.0197601318359375,0.04412841796875,0.05926513671875,0.08406982421875,0.1044921875,0.1298583984375,0.1496337890625,0.176025390625,0.19833984375,0.22470703125,0.254931640625,0.275634765625,0.2982421875,0.323681640625,0.34501953125,0.37236328125,0.3998046875,0.41943359375,0.44453125,0.456640625,0.48310546875,0.5033203125,0.52568359375,0.5478515625,0.561328125,0.57998046875,0.5982421875,0.6158203125,0.62978515625,0.64609375,0.66181640625,0.6736328125,0.687109375,0.69912109375,0.71318359375,0.72548828125,0.73583984375,0.74970703125,0.760546875,0.7732421875,0.78330078125,0.7966796875,0.8080078125,0.8181640625,0.8298828125,0.841015625,0.8529296875,0.864453125,0.876953125,0.8880859375,0.899609375,0.910546875,0.9216796875,0.9326171875,0.9427734375,0.9537109375,0.9646484375,0.97421875,0.984375,0.9943359375,1.0052734375,1.0140625,1.02421875,1.033984375,1.044140625,1.052734375,1.0607421875,1.070703125,1.077734375,1.086328125,1.094921875,1.103125,1.111328125,1.1193359375,1.1275390625,1.1361328125,1.1435546875,1.15078125,1.158203125,1.1662109375,1.1732421875,1.1806640625,1.187109375,1.193359375,1.200390625,1.206640625,1.2134765625,1.2189453125,1.225,1.2310546875,1.236328125,1.241796875,1.2474609375,1.25234375,1.2576171875,1.2625,1.2669921875,1.2708984375,1.2755859375,1.2798828125,1.28359375,1.2873046875,1.2912109375,1.2951171875,1.2984375,1.30234375,1.30546875,1.3087890625,1.31171875,1.314453125,1.3171875,1.319921875,1.3224609375,1.3251953125,1.327734375,1.3298828125,1.3318359375,1.3341796875,1.3361328125,1.337890625,1.33984375,1.3421875,1.3439453125,1.3453125,1.347265625,1.3490234375,1.3505859375,1.3521484375,1.3537109375,1.3546875,1.3560546875,1.357421875,1.358984375,1.3599609375,1.3611328125,1.362109375,1.36328125,1.3642578125,1.365234375,1.36640625,1.3671875,1.36796875,1.3689453125,1.3697265625,1.3705078125,1.371484375,1.372265625,1.373046875,1.3736328125,1.374609375,1.375,1.375390625,1.376171875,1.376953125,1.377734375,1.378125,1.3787109375,1.3791015625,1.380078125,1.3802734375,1.380859375,1.381640625,1.3818359375,1.38203125,1.3830078125,1.383203125,1.3837890625,1.3841796875,1.3845703125,1.3849609375,1.3853515625,1.3857421875,1.386328125,1.3865234375,1.38671875,1.3873046875,1.3873046875,1.387890625,1.3880859375,1.388671875,1.388671875,1.3888671875,1.389453125,1.389453125,1.3896484375,1.38984375,1.390234375,1.3900390625,1.390234375,1.3900390625,1.3900390625,1.3896484375,1.3892578125
t_192,0.10888671875,0.101953125,0.08948974609375,0.07470703125,0.0603515625,0.046392822265625,0.0197601318359375,0.0,0.0244384765625,0.039630126953125,0.06448974609375,0.08497314453125,0.1103759765625,0.1302978515625,0.156884765625,0.179296875,0.205908203125,0.236328125,0.257177734375,0.280029296875,0.305712890625,0.32724609375,0.35498046875,0.382861328125,0.402734375,0.428125,0.4404296875,0.46728515625,0.48779296875,0.510546875,0.5330078125,0.54677734375,0.56591796875,0.584375,0.60234375,0.61650390625,0.63310546875,0.64912109375,0.661328125,0.6748046875,0.68720703125,0.7015625,0.71396484375,0.7248046875,0.73896484375,0.74970703125,0.76279296875,0.77294921875,0.78671875,0.79814453125,0.8087890625,0.8205078125,0.8322265625,0.844140625,0.855859375,0.868359375,0.8798828125,0.8916015625,0.902734375,0.9140625,0.9255859375,0.9357421875,0.9466796875,0.9578125,0.967578125,0.9779296875,0.9884765625,0.9994140625,1.0083984375,1.0185546875,1.0283203125,1.038671875,1.0474609375,1.055859375,1.0654296875,1.073046875,1.081640625,1.0904296875,1.0986328125,1.1068359375,1.1150390625,1.1234375,1.1322265625,1.13984375,1.147265625,1.1548828125,1.1626953125,1.1697265625,1.17734375,1.1837890625,1.1900390625,1.197265625,1.2037109375,1.2103515625,1.2158203125,1.2224609375,1.2283203125,1.2337890625,1.2392578125,1.244921875,1.25,1.2552734375,1.2599609375,1.2646484375,1.2685546875,1.2734375,1.277734375,1.2814453125,1.2857421875,1.289453125,1.29296875,1.2966796875,1.300390625,1.30390625,1.30703125,1.31015625,1.3126953125,1.315625,1.3185546875,1.320703125,1.3234375,1.326171875,1.3283203125,1.3302734375,1.3328125,1.3349609375,1.3369140625,1.338671875,1.340625,1.3421875,1.3443359375,1.34609375,1.3478515625,1.34921875,1.35078125,1.35234375,1.353515625,1.3548828125,1.3564453125,1.3578125,1.358984375,1.3599609375,1.3609375,1.3623046875,1.36328125,1.3640625,1.365234375,1.3662109375,1.366796875,1.36796875,1.36875,1.3693359375,1.370703125,1.3712890625,1.372265625,1.3724609375,1.3732421875,1.3740234375,1.374609375,1.375390625,1.3759765625,1.3765625,1.37734375,1.3775390625,1.378125,1.3791015625,1.379296875,1.380078125,1.3806640625,1.380859375,1.3814453125,1.38203125,1.3822265625,1.3830078125,1.3833984375,1.3837890625,1.383984375,1.3845703125,1.384765625,1.3853515625,1.3859375,1.3859375,1.386328125,1.38671875,1.387109375,1.387109375,1.3876953125,1.3880859375,1.3880859375,1.388671875,1.388671875,1.3888671875,1.3890625,1.3890625,1.3892578125,1.389453125,1.389453125,1.389453125,1.3890625,1.3888671875
t_191,0.1328369140625,0.1260009765625,0.1136474609375,0.09893798828125,0.0846435546875,0.07071533203125,0.04412841796875,0.0244384765625,0.0,0.015509033203125,0.04033203125,0.0607421875,0.086328125,0.1063720703125,0.1331298828125,0.1556884765625,0.1824951171875,0.213232421875,0.234375,0.257470703125,0.283447265625,0.30537109375,0.333349609375,0.36171875,0.381884765625,0.4078125,0.4203125,0.44755859375,0.46865234375,0.491796875,0.5146484375,0.52880859375,0.54833984375,0.56728515625,0.58544921875,0.60009765625,0.61708984375,0.6333984375,0.645703125,0.659765625,0.67236328125,0.68701171875,0.6998046875,0.7107421875,0.72529296875,0.73642578125,0.74970703125,0.76025390625,0.77431640625,0.7859375,0.79677734375,0.8087890625,0.8205078125,0.8330078125,0.8447265625,0.8578125,0.8697265625,0.8818359375,0.89296875,0.9046875,0.9162109375,0.9263671875,0.937890625,0.949609375,0.959375,0.969921875,0.9806640625,0.991796875,1.0009765625,1.011328125,1.0212890625,1.03203125,1.0408203125,1.04921875,1.059375,1.066796875,1.076171875,1.0845703125,1.09296875,1.101171875,1.1099609375,1.11796875,1.1271484375,1.134375,1.142578125,1.15,1.1580078125,1.1650390625,1.1728515625,1.1794921875,1.1861328125,1.1931640625,1.199609375,1.2064453125,1.2125,1.21875,1.2248046875,1.2302734375,1.2361328125,1.2416015625,1.2466796875,1.251953125,1.2568359375,1.2615234375,1.266015625,1.2705078125,1.275,1.2787109375,1.2828125,1.2865234375,1.2904296875,1.2943359375,1.29765625,1.3015625,1.3046875,1.3078125,1.3103515625,1.31328125,1.31640625,1.31875,1.321484375,1.3236328125,1.326171875,1.3283203125,1.3306640625,1.3330078125,1.3345703125,1.33671875,1.338671875,1.340625,1.3421875,1.344140625,1.3458984375,1.34765625,1.348828125,1.350390625,1.351953125,1.353125,1.354296875,1.355859375,1.3572265625,1.358203125,1.359375,1.3603515625,1.36171875,1.3625,1.363671875,1.364453125,1.3654296875,1.3666015625,1.3673828125,1.3681640625,1.369140625,1.36953125,1.370703125,1.3712890625,1.371875,1.3724609375,1.373046875,1.373828125,1.374609375,1.3751953125,1.3759765625,1.376171875,1.3767578125,1.3775390625,1.378125,1.3787109375,1.3791015625,1.3796875,1.380078125,1.380859375,1.3810546875,1.3818359375,1.3818359375,1.3826171875,1.3828125,1.383203125,1.38359375,1.3841796875,1.384375,1.384765625,1.3849609375,1.385546875,1.385546875,1.3861328125,1.386328125,1.3865234375,1.387109375,1.387109375,1.3873046875,1.3876953125,1.387890625,1.38828125,1.3880859375,1.38828125,1.38828125,1.38828125,1.3880859375,1.3875
t_190,0.1479248046875,0.141064453125,0.128662109375,0.11396484375,0.09971923828125,0.085693359375,0.05926513671875,0.039630126953125,0.015509033203125,0.0,0.025,0.045562744140625,0.07110595703125,0.09112548828125,0.1179443359375,0.140625,0.167529296875,0.198486328125,0.21962890625,0.24296875,0.269140625,0.2912109375,0.31943359375,0.348095703125,0.368505859375,0.39462890625,0.40732421875,0.4349609375,0.4560546875,0.47958984375,0.5029296875,0.5171875,0.53701171875,0.55625,0.574609375,0.58955078125,0.60673828125,0.6234375,0.6359375,0.6501953125,0.6630859375,0.6779296875,0.69091796875,0.7021484375,0.71689453125,0.728125,0.7416015625,0.75244140625,0.76669921875,0.77841796875,0.78955078125,0.8017578125,0.8142578125,0.8265625,0.8384765625,0.8515625,0.863671875,0.8759765625,0.8875,0.89921875,0.9109375,0.921484375,0.9330078125,0.9443359375,0.955078125,0.965234375,0.976171875,0.9876953125,0.996875,1.007421875,1.017578125,1.0283203125,1.0373046875,1.0458984375,1.05625,1.063671875,1.07265625,1.08125,1.090234375,1.0984375,1.10703125,1.1154296875,1.124609375,1.1318359375,1.1400390625,1.1478515625,1.1556640625,1.162890625,1.1708984375,1.17734375,1.1837890625,1.1912109375,1.19765625,1.205078125,1.210546875,1.2171875,1.223046875,1.228515625,1.2341796875,1.2400390625,1.2451171875,1.2505859375,1.255859375,1.26015625,1.2646484375,1.2693359375,1.2734375,1.2775390625,1.2814453125,1.2857421875,1.2892578125,1.29296875,1.2966796875,1.3001953125,1.30390625,1.306640625,1.309375,1.3123046875,1.315234375,1.3177734375,1.3203125,1.3228515625,1.325390625,1.3275390625,1.3298828125,1.33203125,1.333984375,1.3359375,1.3376953125,1.33984375,1.34140625,1.3431640625,1.3453125,1.3466796875,1.3484375,1.3494140625,1.351171875,1.3525390625,1.353515625,1.3552734375,1.3564453125,1.3576171875,1.35859375,1.359375,1.3609375,1.36171875,1.3626953125,1.3638671875,1.3646484375,1.3658203125,1.3666015625,1.367578125,1.368359375,1.369140625,1.3697265625,1.370703125,1.3712890625,1.371875,1.37265625,1.3732421875,1.37421875,1.374609375,1.3751953125,1.3759765625,1.376171875,1.3771484375,1.377734375,1.378125,1.37890625,1.37890625,1.3796875,1.3798828125,1.3806640625,1.3810546875,1.3814453125,1.3818359375,1.3822265625,1.3828125,1.3830078125,1.3837890625,1.383984375,1.3841796875,1.384765625,1.3849609375,1.3853515625,1.385546875,1.3861328125,1.386328125,1.3865234375,1.3869140625,1.387109375,1.3873046875,1.3873046875,1.3875,1.387890625,1.387890625,1.387890625,1.387890625,1.3875,1.387109375
